Sod,Date,Time_pt,moist_1,moist_2,moist_3
MH_CH_26,17.11.17,8,34.7,33.7,32.4
MH_CH_27,17.11.17,8,32.7,38.6,47
MH_CH_28,17.11.17,8,72.5,34.6,40.9
MH_CH_29,17.11.17,8,46.1,65,79.5
MH_CH_30,17.11.17,8,16.6,12.7,3.1
MH_CH_31,17.11.17,8,66,58.5,53
MH_TT_01,17.11.17,8,43.7,33.4,39.9
MH_TT_02,17.11.17,8,34.9,36.4,36.1
MH_TT_03,17.11.17,8,21.6,31.6,33.1
MH_TT_04,17.11.17,8,34.2,48.5,48.7
MH_TT_05,17.11.17,8,17.4,15.1,15
MH_TT_06,17.11.17,8,30.9,39.9,33.1
MH_TT_07,17.11.17,8,26.1,18.7,12.4
MH_TT_08,17.11.17,8,43.4,81.5,88.6
MH_TT_09,17.11.17,8,54.5,80.5,60
MH_TT_10,17.11.17,8,16.1,21.6,25.2
MH_TT_11,17.11.17,8,38.4,41.8,45.1
MH_TT_12,17.11.17,8,27.1,27.5,26.1
MH_TT_13,17.11.17,8,31,44.6,35.3
MH_TT_14,17.11.17,8,59.5,47.9,61.5
MH_TT_15,17.11.17,8,88,71.5,78
MH_TT_16,17.11.17,8,9.3,5.2,0
MH_TT_17,17.11.17,8,31.9,32.1,37
MH_TT_18,17.11.17,8,56,48.4,54
MH_TT_19,17.11.17,8,46.3,43.4,44.7
MH_TT_20,17.11.17,8,66,75,64.5
MH_TT_21,17.11.17,8,23.4,23.7,20.1
MH_TT_22,17.11.17,8,0,0,0
MH_TT_23,17.11.17,8,71,78,80
MH_TT_24,17.11.17,8,70.5,68,66
MH_TT_25,17.11.17,8,16.5,29.9,30.1
MH_TT_26,17.11.17,8,57,46.2,46
MH_TT_27,17.11.17,8,31.7,33.9,36.1
MH_TT_28,17.11.17,8,21.1,16.3,22.3
MH_TT_29,17.11.17,8,10.5,20.8,11.4
MH_TT_30,17.11.17,8,15.7,14.6,17
MH_TT_31,17.11.17,8,17.1,17.5,17.5
MH_CH_01,8.2.18,9,24.8,24,33.9
MH_CH_02,8.2.18,9,3.1,0,2.8
MH_CH_03,8.2.18,9,10.2,9.3,13.3
MH_CH_04,8.2.18,9,66,79.5,59
MH_CH_05,8.2.18,9,0,0,0
MH_CH_06,8.2.18,9,31.8,25.1,30.4
MH_CH_07,8.2.18,9,4,27,5.2
MH_CH_08,8.2.18,9,38.3,38.8,36.6
MH_CH_09,8.2.18,9,10.9,14,1.6
MH_CH_10,8.2.18,9,48.4,43.8,47
MH_CH_11,8.2.18,9,42.2,39.3,45.8
MH_CH_12,8.2.18,9,38.6,41.7,33
MH_CH_13,8.2.18,9,1.3,11.7,8.5
MH_CH_14,8.2.18,9,18.2,15.5,20
MH_CH_15,8.2.18,9,0,0,0
MH_CH_16,8.2.18,9,45.4,38.6,35.9
MH_CH_17,8.2.18,9,0,0,0
MH_CH_18,8.2.18,9,61.5,46.1,51.5
MH_CH_19,8.2.18,9,58.5,42.4,45.8
MH_CH_20,8.2.18,9,4.5,0,0
MH_CH_21,8.2.18,9,30.7,34.7,32.7
MH_CH_22,8.2.18,9,52.5,63.5,66
MH_CH_23,8.2.18,9,30.8,32.1,44.3
MH_CH_24,8.2.18,9,4,0,0
MH_CH_25,8.2.18,9,0.3,12.6,6.7
MH_CH_26,8.2.18,9,29.1,29,26.2
